index,value_raw,value_centered
0,-390,-390
1,-390,-390
2,-295,-295
3,-203,-203
4,-120,-120
5,-16,-16
6,-16,-16
7,69,69
8,17,17
9,41,41
10,96,96
11,133,133
12,212,212
13,212,212
14,277,277
15,338,338
16,451,451
17,521,521
18,521,521
19,629,629
20,762,762
21,855,855
22,1000,1000
23,1000,1000
24,1127,1127
25,1252,1252
26,1429,1429
27,1553,1553
28,1553,1553
29,1705,1705
30,1881,1881
31,2045,2045
32,2227,2227
33,2227,2227
34,2405,2405
35,2568,2568
36,2768,2768
37,2944,2944
38,2944,2944
39,3134,3134
40,3327,3327
41,3505,3505
42,3697,3697
43,3705,3705
44,3900,3900
45,4078,4078
46,4297,4297
47,4467,4467
48,4475,4475
49,4652,4652
50,4848,4848
51,5012,5012
52,5214,5214
53,5214,5214
54,5376,5376
55,5546,5546
56,5718,5718
57,5870,5870
58,5870,5870
59,6036,6036
60,6180,6180
61,6319,6319
62,6468,6468
63,6468,6468
64,6585,6585
65,6728,6728
66,6844,6844
67,6940,6940
68,6940,6940
69,7048,7048
70,7127,7127
71,7218,7218
72,7302,7302
73,7302,7302
74,7370,7370
75,7431,7431
76,7471,7471
77,7506,7506
78,7506,7506
79,7550,7550
80,7555,7555
81,7560,7560
82,7570,7570
83,7570,7570
84,7557,7557
85,7559,7559
86,7502,7502
87,7481,7481
88,7481,7481
89,7436,7436
90,7360,7360
91,7314,7314
92,7234,7234
93,7234,7234
94,7154,7154
95,7077,7077
96,6954,6954
97,6862,6862
98,6862,6862
99,6748,6748
100,6608,6608
101,6480,6480
102,6339,6339
103,6339,6339
104,6201,6201
105,6079,6079
106,5897,5897
107,5743,5743
108,5743,5743
109,5588,5588
110,5390,5390
111,5232,5232
112,5039,5039
113,5039,5039
114,4872,4872
115,4702,4702
116,4495,4495
117,4317,4317
118,4317,4317
119,4119,4119
120,3923,3923
121,3751,3751
122,3541,3541
123,3541,3541
124,3353,3353
125,3173,3173
126,2970,2970
127,2789,2789
128,2789,2789
129,2602,2602
130,2422,2422
131,2254,2254
132,2074,2074
133,2074,2074
134,1918,1918
135,1755,1755
136,1594,1594
137,1444,1444
138,1452,1452
139,1294,1294
140,1149,1149
141,1014,1014
142,882,882
143,882,882
144,771,771
145,649,649
146,547,547
147,462,462
148,462,462
149,367,367
150,278,278
151,201,201
152,157,157
153,157,157
154,104,104
155,48,48
156,24,24
157,-2,-2
158,-2,-2
159,-19,-19
160,-7,-7
161,-27,-27
162,2,2
163,68,68
164,98,98
165,159,159
166,159,159
167,210,210
168,265,265
169,357,357
170,432,432
171,432,432
172,517,517
173,646,646
174,741,741
175,882,882
176,882,882
177,1005,1005
178,1128,1128
179,1300,1300
180,1426,1426
181,1426,1426
182,1568,1568
183,1741,1741
184,1884,1884
185,2070,2070
186,2070,2070
187,2241,2241
188,2406,2406
189,2613,2613
190,2760,2760
191,2760,2760
192,2948,2948
193,3150,3150
194,3338,3338
195,3536,3536
196,3536,3536
197,3728,3728
198,3910,3910
199,4115,4115
200,4299,4299
201,4299,4299
202,4489,4489
203,4677,4677
204,4852,4852
205,5047,5047
206,5055,5055
207,5224,5224
208,5391,5391
209,5564,5564
210,5715,5715
211,5715,5715
212,5879,5879
213,6040,6040
214,6196,6196
215,6345,6345
216,6345,6345
217,6479,6479
218,6603,6603
219,6731,6731
220,6844,6844
221,6844,6844
222,6945,6945
223,7051,7051
224,7145,7145
225,7236,7236
226,7236,7236
227,7304,7304
228,7381,7381
229,7421,7421
230,7466,7466
231,7466,7466
232,7513,7513
233,7538,7538
234,7557,7557
235,7560,7560
236,7560,7560
237,7557,7557
238,7568,7568
239,7542,7542
240,7513,7513
241,7513,7513
242,7492,7492
243,7419,7419
244,7370,7370
245,7306,7306
246,7306,7306
247,7218,7218
248,7150,7150
249,7040,7040
250,6951,6951
251,6959,6959
252,6862,6862
253,6724,6724
254,6604,6604
255,6446,6446
256,6446,6446
257,6324,6324
258,6198,6198
259,6035,6035
260,5886,5886
261,5886,5886
262,5728,5728
263,5543,5543
264,5392,5392
265,5208,5208
266,5208,5208
267,5033,5033
268,4863,4863
269,4662,4662
270,4488,4488
271,4488,4488
272,4296,4296
273,4093,4093
274,3912,3912
275,3704,3704
276,3704,3704
277,3527,3527
278,3340,3340
279,3140,3140
280,2955,2955
281,2955,2955
282,2777,2777
283,2582,2582
284,2416,2416
285,2225,2225
286,2225,2225
287,2064,2064
288,1893,1893
289,1722,1722
290,1592,1592
291,1592,1592
292,1418,1418
293,1281,1281
294,1131,1131
295,1001,1001
296,1001,1001
297,885,885
298,761,761
299,646,646
300,544,544
301,544,544
302,430,430
303,361,361
304,283,283
305,213,213
306,221,221
307,154,154
308,85,85
309,58,58
310,13,13
311,13,13
312,-17,-17
313,-11,-11
314,-32,-32
315,-7,-7
316,-7,-7
317,-8,-8
318,12,12
319,55,55
320,83,83
321,83,83
322,172,172
323,228,228
324,292,292
325,372,372
326,380,380
327,445,445
328,555,555
329,663,663
330,743,743
331,743,743
332,897,897
333,1017,1017
334,1165,1165
335,1312,1312
336,1312,1312
337,1425,1425
338,1593,1593
339,1761,1761
340,1916,1916
341,1916,1916
342,2101,2101
343,2255,2255
344,2439,2439
345,2613,2613
346,2613,2613
347,2790,2790
348,2983,2983
349,3176,3176
350,3339,3339
351,3339,3339
352,3560,3560
353,3742,3742
354,3946,3946
355,4133,4133
356,4133,4133
357,4319,4319
358,4518,4518
359,4696,4696
360,4876,4876
361,4876,4876
362,5062,5062
363,5225,5225
364,5401,5401
365,5584,5584
366,5584,5584
367,5756,5756
368,5896,5896
369,6052,6052
370,6210,6210
371,6210,6210
372,6349,6349
373,6489,6489
374,6618,6618
375,6744,6744
376,6744,6744
377,6865,6865
378,6967,6967
379,7061,7061
380,7153,7153
381,7153,7153
382,7239,7239
383,7317,7317
384,7379,7379
385,7444,7444
386,7444,7444
387,7489,7489
388,7509,7509
389,7535,7535
390,7579,7579
391,7579,7579
392,7565,7565
393,7571,7571
394,7553,7553
395,7530,7530
396,7530,7530
397,7515,7515
398,7477,7477
399,7425,7425
400,7376,7376
401,7376,7376
402,7288,7288
403,7216,7216
404,7129,7129
405,7040,7040
406,7040,7040
407,6970,6970
408,6827,6827
409,6719,6719
410,6605,6605
411,6605,6605
412,6457,6457
413,6317,6317
414,6175,6175
415,6019,6019
416,6019,6019
417,5883,5883
418,5702,5702
419,5538,5538
420,5379,5379
421,5379,5379
422,5186,5186
423,5024,5024
424,4825,4825
425,4646,4646
426,4646,4646
427,4473,4473
428,4275,4275
429,4087,4087
430,3899,3899
431,3899,3899
432,3703,3703
433,3520,3520
434,3310,3310
435,3126,3126
436,3126,3126
437,2955,2955
438,2747,2747
439,2583,2583
440,2399,2399
441,2431,2431
442,2215,2215
443,2057,2057
444,1876,1876
445,1712,1712
446,1712,1712
447,1558,1558
448,1404,1404
449,1271,1271
450,1120,1120
451,1120,1120
452,989,989
453,873,873
454,756,756
455,636,636
456,636,636
457,528,528
458,432,432
459,340,340
460,260,260
461,260,260
462,217,217
463,138,138
464,88,88
465,57,57
466,57,57
467,4,4
468,-3,-3
469,-14,-14
470,-35,-35
471,-35,-35
472,-6,-6
473,3,3
474,26,26
475,69,69
476,113,113
477,121,121
478,142,142
479,214,214
480,291,291
481,359,359
482,359,359
483,478,478
484,563,563
485,672,672
486,780,780
487,780,780
488,879,879
489,1031,1031
490,1155,1155
491,1281,1281
492,1281,1281
493,1459,1459
494,1611,1611
495,1774,1774
496,1947,1947
497,1947,1947
498,2086,2086
499,2278,2278
500,2448,2448
501,2625,2625
502,2625,2625
503,2820,2820
504,2988,2988
505,3180,3180
506,3387,3387
507,3387,3387
508,3551,3551
509,3763,3763
510,3948,3948
511,4142,4142
512,4142,4142
513,4345,4345
514,4520,4520
515,4713,4713
516,4891,4891
517,4891,4891
518,5061,5061
519,5252,5252
520,5414,5414
521,5592,5592
522,5592,5592
523,5757,5757
524,5906,5906
525,6072,6072
